userId,date,merchantId,amountEuros,wording,eligibleForOffer,usedOffer
150,2021-07-17,galeries-lafayette,22.4,PAIEMENT PSC XXXX MONTAUBAN GALERIES LAFAYET CARTE XXXXXXXX,0,0
151,2021-07-17,galeries-lafayette,24.93,Paiement à Galeries Lafayette,0,0
152,2021-07-17,galeries-lafayette,44.83,GL BRON PSC BRON XXXXXXX/,0,0
151,2021-07-17,galeries-lafayette,33.22,Paiement à Galeries Lafayette,0,0
153,2021-07-16,galeries-lafayette,84,CARTE XX/XX/XX GALERIES LAFAYET CB*XXXX,0,0
154,2021-07-15,galeries-lafayette,82.32,PAIEMENT PAR CARTE GL STRASBOURG XX/XX,0,0
155,2021-07-16,galeries-lafayette,100,ACHAT CB GL BORDEAUX XX.XX.XX CARTE NUMERO XXX,0,0
156,2021-07-15,galeries-lafayette,136,PAIEMENT PAR CARTE GAL LAFAYETTE RENNES XX/XX,0,0
157,2021-07-17,galeries-lafayette,123,PAIEMENT CB XXXX ANGERXXXXXXX/ GL ANGERS CARTE XXXXXXXX,0,0
158,2021-07-15,galeries-lafayette,196,Cb Gl Montpelliers Fact XXXXXX,1,0
159,2021-06-07,galeries-lafayette,85,CARTE XX/XX GLAFAYETTE.COM PARIS,1,1
160,2021-07-15,galeries-lafayette,67,FACTURE CARTE DU XXXXXX GL CARRE SENART LIEUSXXXXXXX/ CARTE XXXXXXXXXXXXXXXX,0,0
161,2021-07-17,galeries-lafayette,71,Cb Galeries Lafaye Fact XXXXXX,0,0
162,2021-07-12,galeries-lafayette,52.65,ACHAT CB GLAFAYETTE.COM XX.XX.XX EUR XXXX CARTE NO XXX,0,0
163,2021-07-16,galeries-lafayette,54.6,PAIEMENT PAR CARTE GL HAUSSMANN PARISXXXXXXX/ XX/XX,0,0
162,2021-07-12,galeries-lafayette,72.9,ACHAT CB GLAFAYETTE.COM XX.XX.XX EUR XXXX CARTE NO XXX,0,0
164,2021-07-17,galeries-lafayette,27.55,Cb Gl Rosny Sous B Fact XXXXXX,0,0
165,2021-07-15,galeries-lafayette,13.49,PAIEMENT PAR CARTE GALERIES LAFAYET BEAUVAIS XX/XX,0,0
166,2021-07-15,galeries-lafayette,39.9,GALERIES LAFAYE,0,0
167,2021-07-13,galeries-lafayette,5,Cb Gl Haussmann Fact XXXXXX,0,0
168,2021-07-18,galeries-lafayette,19.95,PAIEMENT PAR CARTE GL SAINT LAURENT XX/XX,0,0
168,2021-07-18,galeries-lafayette,45,PAIEMENT PAR CARTE GL SAINT LAURENT XX/XX,0,0
169,2021-07-17,galeries-lafayette,129,CB GL HAUSSMANN XX/XX/XX,0,0
170,2021-07-17,galeries-lafayette,12.2,XXXXXX CB****XXXX GOURMET HAUSSMAXXPARISXXXXXXX/,0,0
171,2021-07-17,galeries-lafayette,150.5,CB GL HAUSSMANN XX/XX/XX,0,0
170,2021-07-17,galeries-lafayette,16,XXXXXX CB****XXXX GOURMET HAUSSMAXXPARISXXXXXXX/,0,0
172,2021-07-12,galeries-lafayette,50.52,Cb Glafayette.com Fact XXXXXX,0,0
172,2021-07-13,galeries-lafayette,89.48,Cb Glafayette.com Fact XXXXXX,0,0
173,2021-07-19,galeries-lafayette,24.99,ACHAT CB GL MONTPELLIER XX.XX.XX EUR XXXX CARTE NO XXX APPLE PAY,0,0
174,2021-07-15,galeries-lafayette,118.99,Cb Gl Montpelliers Fact XXXXXX,0,0
175,2021-07-15,galeries-lafayette,9.94,Cb Gl Tours Fact XXXXXX,0,0
176,2021-07-17,galeries-lafayette,49.5,FACTURE CARTE DU XXXXXX GL SAINT LAUREN SAINTXXXXXXX/ CARTE XXXXXXXXXXXXXXXX,0,0
177,2021-07-19,galeries-lafayette,60,CARTE XXXXXXX CB GL BORDEAUX XX/XX/XX CBLMLE SANDRA CLAVERIN,0,0
178,2021-07-16,galeries-lafayette,169,Cb Gl Biarritz Fact XXXXXX,1,0
179,2021-07-16,galeries-lafayette,36,GL TOURS,0,0
180,2021-07-16,galeries-lafayette,54.9,Cb Gl Toulouse Fact XXXXXX,0,0
181,2021-07-15,galeries-lafayette,44.95,Cb Gal Lafayette Fact XXXXXX,0,0
182,2021-07-17,galeries-lafayette,77.4,GL LYON XXLYON XXXXXXX/,0,0
183,2021-07-16,galeries-lafayette,17.5,CARTE XX/XX GL BORDEAUX BORDEXXXXXXX/,0,0
184,2021-07-17,galeries-lafayette,8,ACHAT CB GL BORDEAUX XX.XX.XX EUR XXX CARTE NO XXX APPLE PAY,0,0
185,2021-07-17,galeries-lafayette,9.9,CARTE XX/XX/XX XX GAL LAFAYETTE CB*XXXX,0,0
186,2021-07-17,galeries-lafayette,34.99,ACHAT CB GL LIMOGES XX.XX.XX CARTE NUMERO XXX,0,0
169,2021-07-18,galeries-lafayette,35.88,CB GOURMET HAUSSMA XX/XX/XX,0,0
187,2021-07-15,galeries-lafayette,90,Cb Gl Haussmann Fact XXXXXX,1,0
169,2021-07-18,galeries-lafayette,65,CB GL HAUSSMANN XX/XX/XX,0,0
188,2021-07-17,galeries-lafayette,47.5,FACTURE CARTE DU XXXXXX GL HAUSSMANN PARISXXXXXXX/ CARTE XXXXXXXXXXXXXXXX,0,0
189,2021-07-17,galeries-lafayette,13.5,XXXXXX CB****XXXX GL NANTES XXNANTEXXXXXXX/,0,0
13,2021-07-17,galeries-lafayette,25,ACHAT CB GL BIARRITZ XX.XX.XX CARTE NUMERO XXX,0,0
190,2021-07-17,galeries-lafayette,25,PAIEMENT PAR CARTE GL TOURS XX/XX,0,0
191,2021-07-17,galeries-lafayette,55,Cb Galeries Lafaye Fact XXXXXX,0,0
192,2021-07-16,galeries-lafayette,23,GAL LAFAYETTE,0,0
193,2021-07-17,galeries-lafayette,17.94,PAIEMENT PAR CARTE GL NICE MASSENA XX/XX,0,0
194,2021-07-17,galeries-lafayette,78.45,ACHAT CB GL BIARRITZ XX.XX.XX CARTE NUMERO XXX,0,0
195,2021-07-17,galeries-lafayette,8,CARTE XX/XX/XX XX GOURMET HAUSSMA,0,0
196,2021-07-16,galeries-lafayette,20,CARTE XX/XX GL BORDEAUX BORDEXXXXXXX/,0,0
195,2021-07-17,galeries-lafayette,9,CARTE XX/XX/XX XX GOURMET HAUSSMA,0,0
197,2021-07-17,galeries-lafayette,45,PAIEMENT PAR CARTE GL LYON XX/XX,0,0
198,2021-07-17,galeries-lafayette,11.79,PAIEMENT PAR CARTE GAL LAFAYETTE RENNES XX/XX,0,0
199,2021-07-17,galeries-lafayette,122.5,PAIEMENT PAR CARTE GL HAUSSMANN PARISXXXXXXX/ XX/XX,0,0
200,2021-07-17,galeries-lafayette,59.9,PAIEMENT PAR CARTE GL CARRE SENART LIEUSXXXXX XX/XX,0,0
201,2021-07-16,galeries-lafayette,20.6,PAIEMENT PSC XXXX TOURSXXXXXXX/ GL TOURS CARTE XXXXXXXX,0,0
202,2021-07-16,galeries-lafayette,70,XXXXXX CB****XXXX GL HAUSSMANN XXPARISXXXXXXX/,0,0
203,2021-07-18,galeries-lafayette,96,ACHAT CB GL BORDEAUX XX.XX.XX CARTE NUMERO XXX,1,0
204,2021-07-17,galeries-lafayette,48.39,PAIEMENT PAR CARTE GL BORDEAUX XX/XX,0,0
205,2021-07-17,galeries-lafayette,28,PAIEMENT PAR CARTE GL ANGERS XX/XX,0,0
205,2021-07-17,galeries-lafayette,41.99,PAIEMENT PAR CARTE GL ANGERS XX/XX,0,0
206,2021-07-18,galeries-lafayette,3.5,ACHAT CB GL ROSNY SOUS XX.XX.XX CARTE NUMERO XXX,0,0
207,2021-07-17,galeries-lafayette,17.5,CARTE XX/XX/XX GALERIES LAFAYET,0,0
169,2021-07-18,galeries-lafayette,24.89,CB GOURMET HAUSSMA XX/XX/XX,0,0
208,2021-07-17,galeries-lafayette,39.9,PAIEMENT PAR CARTE GALERIES LAFAYET TOULON XX/XX,0,0
209,2021-07-16,galeries-lafayette,50.26,PAIEMENT PAR CARTE GLAFAYETTE.COM PARIS XX/XX,0,0
210,2021-07-16,galeries-lafayette,6.3,CARTE XXXXX XX/XX GL BORDEAUX,0,0
211,2021-07-17,galeries-lafayette,39,GL CLERMONT,0,0
